Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Gabriel Dos Santos,br BRA,DF,24,14,14,1260.0,2.0,0.0,0.0,2.0,0.0,2.3,0.2,Arsenal
Aaron Ramsdale,eng ENG,GK,24,14,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
William Saliba,fr FRA,DF,21,14,14,1245.0,2.0,1.0,0.0,4.0,0.0,0.3,0.9,Arsenal
Gabriel Jesus,br BRA,FW,25,14,14,1219.0,5.0,5.0,0.0,4.0,0.0,7.7,2.8,Arsenal
Martinelli,br BRA,FW,21,14,14,1181.0,5.0,2.0,0.0,1.0,0.0,3.0,3.3,Arsenal
Bukayo Saka,eng ENG,FW,21,14,14,1171.0,4.0,6.0,1.0,3.0,0.0,4.5,2.9,Arsenal
Granit Xhaka,ch SUI,MF,30,14,14,1166.0,3.0,3.0,0.0,2.0,0.0,1.5,1.8,Arsenal
Ben White,eng ENG,DF,25,14,14,1150.0,0.0,2.0,0.0,3.0,0.0,0.3,1.1,Arsenal
Martin Ødegaard,no NOR,MF,23,13,13,1074.0,6.0,2.0,0.0,2.0,0.0,4.1,2.6,Arsenal
Thomas Partey,gh GHA,MF,29,11,11,959.0,2.0,0.0,0.0,1.0,0.0,1.0,0.6,Arsenal
Oleksandr Zinchenko,ua UKR,DF,25,7,7,559.0,0.0,1.0,0.0,0.0,0.0,0.1,0.4,Arsenal
Takehiro Tomiyasu,jp JPN,DF,24,11,4,410.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,Arsenal
Kieran Tierney,sct SCO,DF,25,12,3,354.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,Arsenal
Albert Sambi Lokonga,be BEL,MF,23,6,2,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Fabio Vieira,pt POR,MF,22,8,1,246.0,1.0,1.0,0.0,0.0,0.0,0.3,1.1,Arsenal
Mohamed Elneny,eg EGY,MF,30,3,1,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Eddie Nketiah,eng ENG,"FW,MF",23,12,0,152.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,Arsenal
Reiss Nelson,eng ENG,FW,22,2,0,65.0,2.0,1.0,0.0,0.0,0.0,0.6,0.1,Arsenal
Emile Smith Rowe,eng ENG,"MF,FW",22,4,0,51.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,Arsenal
Cédric Soares,pt POR,DF,31,2,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Rob Holding,eng ENG,DF,27,4,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
